month,day,ratio,group,tag
1,1,10.10360307,AprovelCV&T,observed
1,2,16.68967464,AprovelCV&T,observed
1,3,21.41088408,AprovelCV&T,observed
1,4,25.36553958,AprovelCV&T,observed
1,5,29.20474703,AprovelCV&T,observed
1,6,33.2529557,AprovelCV&T,observed
1,7,37.61195679,AprovelCV&T,observed
1,8,42.24833477,AprovelCV&T,observed
1,9,47.06437168,AprovelCV&T,observed
1,10,51.95240416,AprovelCV&T,observed
1,11,56.83263341,AprovelCV&T,observed
1,12,61.67438794,AprovelCV&T,observed
1,13,66.50083929,AprovelCV&T,observed
1,14,71.37717043,AprovelCV&T,observed
1,15,76.38219713,AprovelCV&T,observed
1,16,81.56344218,AprovelCV&T,observed
1,17,86.87566236,AprovelCV&T,observed
1,18,92.10282843,AprovelCV&T,observed
1,19,96.76355776,AprovelCV&T,observed
1,20,100,AprovelCV&T,observed
2,1,9.132045278,AprovelCV&T,observed
2,2,13.82437691,AprovelCV&T,observed
2,3,18.12071141,AprovelCV&T,observed
2,4,22.41193423,AprovelCV&T,observed
2,5,26.87692749,AprovelCV&T,observed
2,6,31.54747064,AprovelCV&T,observed
2,7,36.36421145,AprovelCV&T,observed
2,8,41.22370735,AprovelCV&T,observed
2,9,46.01653723,AprovelCV&T,observed
2,10,50.65648358,AprovelCV&T,observed
2,11,55.10078501,AprovelCV&T,observed
2,12,59.36145918,AprovelCV&T,observed
2,13,63.50769608,AprovelCV&T,observed
2,14,67.65932173,AprovelCV&T,observed
2,15,71.97133223,AprovelCV&T,observed
2,16,76.60949821,AprovelCV&T,observed
2,17,81.71703969,AprovelCV&T,observed
2,18,87.37237126,AprovelCV&T,observed
2,19,93.53791771,AprovelCV&T,observed
2,20,100,AprovelCV&T,observed
3,1,8.656497316,AprovelCV&T,observed
3,2,13.78486985,AprovelCV&T,observed
3,3,18.83629987,AprovelCV&T,observed
3,4,23.8622655,AprovelCV&T,observed
3,5,28.86490835,AprovelCV&T,observed
3,6,33.81904143,AprovelCV&T,observed
3,7,38.69019496,AprovelCV&T,observed
3,8,43.44870002,AprovelCV&T,observed
3,9,48.07981007,AprovelCV&T,observed
3,10,52.58986041,AprovelCV&T,observed
3,11,57.0084654,AprovelCV&T,observed
3,12,61.38675363,AprovelCV&T,observed
3,13,65.79164092,AprovelCV&T,observed
3,14,70.29614124,AprovelCV&T,observed
3,15,74.96571541,AprovelCV&T,observed
3,16,79.84065777,AprovelCV&T,observed
3,17,84.91452063,AprovelCV&T,observed
3,18,90.10857666,AprovelCV&T,observed
3,19,95.24231914,AprovelCV&T,observed
3,20,100,AprovelCV&T,observed
4,1,5.340769876,AprovelCV&T,observed
4,2,12.79268389,AprovelCV&T,observed
4,3,18.61750781,AprovelCV&T,observed
4,4,23.58051325,AprovelCV&T,observed
4,5,28.16540649,AprovelCV&T,observed
4,6,32.64638017,AprovelCV&T,observed
4,7,37.15070342,AprovelCV&T,observed
4,8,41.71185025,AprovelCV&T,observed
4,9,46.31316638,AprovelCV&T,observed
4,10,50.92207447,AprovelCV&T,observed
4,11,55.51481761,AprovelCV&T,observed
4,12,60.0917413,AprovelCV&T,observed
4,13,64.6831137,AprovelCV&T,observed
4,14,69.34548431,AprovelCV&T,observed
4,15,74.14858099,AprovelCV&T,observed
4,16,79.1527454,AprovelCV&T,observed
4,17,84.37690669,AprovelCV&T,observed
4,18,89.7570937,AprovelCV&T,observed
4,19,95.09548545,AprovelCV&T,observed
4,20,100,AprovelCV&T,observed
5,1,9.249496957,AprovelCV&T,observed
5,2,13.33740237,AprovelCV&T,observed
5,3,18.36087068,AprovelCV&T,observed
5,4,23.4119821,AprovelCV&T,observed
5,5,28.04165782,AprovelCV&T,observed
5,6,32.13627793,AprovelCV&T,observed
5,7,35.80864005,AprovelCV&T,observed
5,8,39.30325876,AprovelCV&T,observed
5,9,42.91600564,AprovelCV&T,observed
5,10,46.92809011,AprovelCV&T,observed
5,11,51.55438094,AprovelCV&T,observed
5,12,56.90606853,AprovelCV&T,observed
5,13,62.96766782,AprovelCV&T,observed
5,14,69.58836204,AprovelCV&T,observed
5,15,76.48768703,AprovelCV&T,observed
5,16,83.27555645,AprovelCV&T,observed
5,17,89.48662754,AprovelCV&T,observed
5,18,94.62900769,AprovelCV&T,observed
5,19,98.24730176,AprovelCV&T,observed
5,20,100,AprovelCV&T,observed
6,1,10.54402118,AprovelCV&T,observed
6,2,15.76527791,AprovelCV&T,observed
6,3,20.89547553,AprovelCV&T,observed
6,4,25.90956357,AprovelCV&T,observed
6,5,30.79336144,AprovelCV&T,observed
6,6,35.54449438,AprovelCV&T,observed
6,7,40.17248481,AprovelCV&T,observed
6,8,44.69799887,AprovelCV&T,observed
6,9,49.15124835,AprovelCV&T,observed
6,10,53.56954794,AprovelCV&T,observed
6,11,57.99402773,AprovelCV&T,observed
6,12,62.46550108,AprovelCV&T,observed
6,13,67.01948782,AprovelCV&T,observed
6,14,71.68039266,AprovelCV&T,observed
6,15,76.45483907,AprovelCV&T,observed
6,16,81.32415833,AprovelCV&T,observed
6,17,86.23603396,AprovelCV&T,observed
6,18,91.09530151,AprovelCV&T,observed
6,19,95.75390353,AprovelCV&T,observed
6,20,100,AprovelCV&T,observed
7,1,5.339575004,AprovelCV&T,observed
7,2,13.16692652,AprovelCV&T,observed
7,3,18.87804718,AprovelCV&T,observed
7,4,23.70379283,AprovelCV&T,observed
7,5,28.35889289,AprovelCV&T,observed
7,6,33.17997646,AprovelCV&T,observed
7,7,38.24556272,AprovelCV&T,observed
7,8,43.47801562,AprovelCV&T,observed
7,9,48.72746289,AprovelCV&T,observed
7,10,53.83767936,AprovelCV&T,observed
7,11,58.69393456,AprovelCV&T,observed
7,12,63.25280462,AprovelCV&T,observed
7,13,67.55394852,AprovelCV&T,observed
7,14,71.71384859,AprovelCV&T,observed
7,15,75.90151532,AprovelCV&T,observed
7,16,80.29615652,AprovelCV&T,observed
7,17,85.02681072,AprovelCV&T,observed
7,18,90.0939449,AprovelCV&T,observed
7,19,95.27301655,AprovelCV&T,observed
7,20,100,AprovelCV&T,observed
8,1,8.757861284,AprovelCV&T,observed
8,2,14.77596915,AprovelCV&T,observed
8,3,19.77790958,AprovelCV&T,observed
8,4,24.4408077,AprovelCV&T,observed
8,5,29.12033607,AprovelCV&T,observed
8,6,33.94929518,AprovelCV&T,observed
8,7,38.92123677,AprovelCV&T,observed
8,8,43.95913024,AprovelCV&T,observed
8,9,48.96907183,AprovelCV&T,observed
8,10,53.87903694,AprovelCV&T,observed
8,11,58.66267521,AprovelCV&T,observed
8,12,63.34814865,AprovelCV&T,observed
8,13,68.01201272,AprovelCV&T,observed
8,14,72.75814028,AprovelCV&T,observed
8,15,77.68168854,AprovelCV&T,observed
8,16,82.81810896,AprovelCV&T,observed
8,17,88.07720004,AprovelCV&T,observed
8,18,93.16220313,AprovelCV&T,observed
8,19,97.47394109,AprovelCV&T,observed
8,20,100,AprovelCV&T,observed
9,1,8.241972752,AprovelCV&T,observed
9,2,14.03007259,AprovelCV&T,observed
9,3,19.80082828,AprovelCV&T,observed
9,4,25.84190503,AprovelCV&T,observed
9,5,32.2111925,AprovelCV&T,observed
9,6,38.81952332,AprovelCV&T,observed
9,7,45.4999301,AprovelCV&T,observed
9,8,52.06344088,AprovelCV&T,observed
9,9,58.34141301,AprovelCV&T,observed
9,10,64.21440551,AprovelCV&T,observed
9,11,69.62758987,AprovelCV&T,observed
9,12,74.59269927,AprovelCV&T,observed
9,13,79.1765163,AprovelCV&T,observed
